Thu Nov 16 16:50:30 2023
data_dict: {'mean': array([83.93362 , 92.55297 , 91.47328 , 74.63291 , 28.445953],
      dtype=float32), 'std': array([47.080837, 50.655468, 56.94334 , 49.649784, 10.984235],
      dtype=float32), 'classWeights': array([2.727278 , 2.19231  , 4.0622845], dtype=float32), 'img_shape': (512, 512, 5)}
epoch: 3 iter: 11 train_iter_loss: 0.322794 learn_rate: 0.001000 
epoch: 3 iter: 12 train_iter_loss: 0.301769 learn_rate: 0.001000 
epoch: 3 iter: 13 train_iter_loss: 0.253961 learn_rate: 0.001000 
epoch: 3 iter: 14 train_iter_loss: 0.315754 learn_rate: 0.001000 
epoch: 3 iter: 15 train_iter_loss: 0.283733 learn_rate: 0.001000 
epoch: 3 iter: 16 train_iter_loss: 0.285598 learn_rate: 0.001000 
epoch: 3 iter: 17 train_iter_loss: 0.253200 learn_rate: 0.001000 
epoch: 3 iter: 18 train_iter_loss: 0.291936 learn_rate: 0.001000 
epoch: 3 iter: 19 train_iter_loss: 0.295720 learn_rate: 0.001000 
epoch: 3 iter: 20 train_iter_loss: 0.306684 learn_rate: 0.001000 
epoch: 3 iter: 21 train_iter_loss: 0.296961 learn_rate: 0.001000 
epoch: 3 iter: 22 train_iter_loss: 0.276509 learn_rate: 0.001000 
epoch: 3 iter: 23 train_iter_loss: 0.257221 learn_rate: 0.001000 
epoch: 3 iter: 24 train_iter_loss: 0.239630 learn_rate: 0.001000 
epoch: 3 iter: 25 train_iter_loss: 0.260174 learn_rate: 0.001000 
epoch: 3 iter: 26 train_iter_loss: 0.302312 learn_rate: 0.001000 
epoch: 3 iter: 27 train_iter_loss: 0.306455 learn_rate: 0.001000 
epoch: 3 iter: 28 train_iter_loss: 0.346181 learn_rate: 0.001000 
epoch: 3 iter: 29 train_iter_loss: 0.279362 learn_rate: 0.001000 
epoch: 3 iter: 30 train_iter_loss: 0.249268 learn_rate: 0.001000 
epoch: 3 iter: 31 train_iter_loss: 0.330494 learn_rate: 0.001000 
epoch: 3 iter: 32 train_iter_loss: 0.280948 learn_rate: 0.001000 
epoch: 3 iter: 33 train_iter_loss: 0.286646 learn_rate: 0.001000 
epoch: 3 iter: 34 train_iter_loss: 0.274384 learn_rate: 0.001000 
epoch: 3 iter: 35 train_iter_loss: 0.318267 learn_rate: 0.001000 
epoch: 3 iter: 36 train_iter_loss: 0.256202 learn_rate: 0.001000 
epoch: 3 iter: 37 train_iter_loss: 0.323243 learn_rate: 0.001000 
epoch: 3 iter: 38 train_iter_loss: 0.282328 learn_rate: 0.001000 
epoch: 3 iter: 39 train_iter_loss: 0.320163 learn_rate: 0.001000 
epoch: 3 iter: 40 train_iter_loss: 0.340428 learn_rate: 0.001000 
epoch: 3 iter: 41 train_iter_loss: 0.327227 learn_rate: 0.001000 
epoch: 3 iter: 42 train_iter_loss: 0.326878 learn_rate: 0.001000 
epoch: 3 iter: 43 train_iter_loss: 0.298247 learn_rate: 0.001000 
epoch: 3 iter: 44 train_iter_loss: 0.299976 learn_rate: 0.001000 
epoch: 3 iter: 45 train_iter_loss: 0.336545 learn_rate: 0.001000 
epoch: 3 iter: 46 train_iter_loss: 0.279985 learn_rate: 0.001000 
epoch: 3 iter: 47 train_iter_loss: 0.325406 learn_rate: 0.001000 
epoch: 3 iter: 48 train_iter_loss: 0.304792 learn_rate: 0.001000 
epoch: 3 iter: 49 train_iter_loss: 0.323959 learn_rate: 0.001000 
epoch: 3 iter: 50 train_iter_loss: 0.291521 learn_rate: 0.001000 
epoch: 3 iter: 51 train_iter_loss: 0.326274 learn_rate: 0.001000 
epoch: 3 iter: 52 train_iter_loss: 0.297707 learn_rate: 0.001000 
epoch: 3 iter: 53 train_iter_loss: 0.292769 learn_rate: 0.001000 
epoch: 3 iter: 54 train_iter_loss: 0.335459 learn_rate: 0.001000 
epoch: 3 iter: 55 train_iter_loss: 0.331624 learn_rate: 0.001000 
epoch: 3 iter: 56 train_iter_loss: 0.310343 learn_rate: 0.001000 
epoch: 3 iter: 57 train_iter_loss: 0.293819 learn_rate: 0.001000 
epoch: 3 iter: 58 train_iter_loss: 0.298539 learn_rate: 0.001000 
epoch: 3 iter: 59 train_iter_loss: 0.322399 learn_rate: 0.001000 
epoch: 3 iter: 60 train_iter_loss: 0.299507 learn_rate: 0.001000 
epoch: 3 iter: 61 train_iter_loss: 0.294483 learn_rate: 0.001000 
epoch: 3 iter: 62 train_iter_loss: 0.298842 learn_rate: 0.001000 
epoch: 3 iter: 63 train_iter_loss: 0.337361 learn_rate: 0.001000 
epoch: 3 iter: 64 train_iter_loss: 0.269291 learn_rate: 0.001000 
epoch: 3 iter: 65 train_iter_loss: 0.276224 learn_rate: 0.001000 
epoch: 3 iter: 66 train_iter_loss: 0.312169 learn_rate: 0.001000 
epoch: 3 iter: 67 train_iter_loss: 0.259983 learn_rate: 0.001000 
epoch: 3 iter: 68 train_iter_loss: 0.281772 learn_rate: 0.001000 
epoch: 3 iter: 69 train_iter_loss: 0.303975 learn_rate: 0.001000 
epoch: 3 iter: 70 train_iter_loss: 0.288499 learn_rate: 0.001000 
epoch: 3 iter: 71 train_iter_loss: 0.268904 learn_rate: 0.001000 
epoch: 3 iter: 72 train_iter_loss: 0.291741 learn_rate: 0.001000 
epoch: 3 iter: 73 train_iter_loss: 0.271653 learn_rate: 0.001000 
epoch: 3 iter: 74 train_iter_loss: 0.288884 learn_rate: 0.001000 
epoch: 3 iter: 75 train_iter_loss: 0.294102 learn_rate: 0.001000 
epoch: 3 iter: 76 train_iter_loss: 0.278859 learn_rate: 0.001000 
epoch: 3 iter: 77 train_iter_loss: 0.292336 learn_rate: 0.001000 
epoch: 3 iter: 78 train_iter_loss: 0.283841 learn_rate: 0.001000 
epoch: 3 train_epoch_loss: 0.296215 learn_rate: 0.001000 test_p: 0.138889 test_r: 0.366667 test_f: 0.200000
epoch: 4 iter: 1 train_iter_loss: 0.175885 learn_rate: 0.000333 
epoch: 4 iter: 2 train_iter_loss: 0.190499 learn_rate: 0.000333 
epoch: 4 iter: 3 train_iter_loss: 0.186936 learn_rate: 0.000333 
epoch: 4 iter: 4 train_iter_loss: 0.190801 learn_rate: 0.000333 
epoch: 4 iter: 5 train_iter_loss: 0.205459 learn_rate: 0.000333 
epoch: 4 iter: 6 train_iter_loss: 0.184683 learn_rate: 0.000333 
epoch: 4 iter: 7 train_iter_loss: 0.179067 learn_rate: 0.000333 
epoch: 4 iter: 8 train_iter_loss: 0.197245 learn_rate: 0.000333 
epoch: 4 iter: 9 train_iter_loss: 0.167897 learn_rate: 0.000333 
epoch: 4 iter: 10 train_iter_loss: 0.190332 learn_rate: 0.000333 
epoch: 4 iter: 11 train_iter_loss: 0.183404 learn_rate: 0.000333 
epoch: 4 iter: 12 train_iter_loss: 0.203186 learn_rate: 0.000333 
epoch: 4 iter: 13 train_iter_loss: 0.176641 learn_rate: 0.000333 
epoch: 4 iter: 14 train_iter_loss: 0.177675 learn_rate: 0.000333 
epoch: 4 iter: 15 train_iter_loss: 0.193105 learn_rate: 0.000333 
epoch: 4 iter: 16 train_iter_loss: 0.192435 learn_rate: 0.000333 
epoch: 4 iter: 17 train_iter_loss: 0.176269 learn_rate: 0.000333 
epoch: 4 iter: 18 train_iter_loss: 0.182889 learn_rate: 0.000333 
epoch: 4 iter: 19 train_iter_loss: 0.197180 learn_rate: 0.000333 
epoch: 4 iter: 20 train_iter_loss: 0.178030 learn_rate: 0.000333 
epoch: 4 iter: 21 train_iter_loss: 0.186065 learn_rate: 0.000333 
epoch: 4 iter: 22 train_iter_loss: 0.183338 learn_rate: 0.000333 
epoch: 4 iter: 23 train_iter_loss: 0.166855 learn_rate: 0.000333 
